Date,Open,High,Low,Close,Adj Close,Volume
2003-02-01,831.685608,883.170898,801.982544,801.982544,765.593384,683451
2003-03-01,811.883545,811.883545,673.269287,762.378479,727.786377,583358
2003-04-01,762.378479,1089.112061,762.378479,990.200928,945.271606,2266416
2003-05-01,990.200928,1169.310303,990.101929,1113.864624,1063.324219,6655767
2003-06-01,1108.914185,1140.597412,1029.705933,1108.914185,1058.598145,2600221
2003-07-01,1133.666626,1237.627319,1099.013062,1237.627319,1181.471191,4567191
2003-08-01,1227.726318,1336.637573,1198.023315,1287.033447,1228.635498,5045328
2003-09-01,1287.132446,1480.202393,1287.132446,1455.449829,1389.410156,4973011
2003-10-01,1504.954834,1980.203857,1455.449829,1890.995605,1805.193604,7840091
2003-11-01,1801.985474,1935.649170,1730.698120,1891.094604,1805.288086,2851612
2003-12-01,1891.094604,2099.016113,1881.193604,2079.312988,1984.966431,2106233
2004-01-01,2079.312988,2227.729248,1995.055298,2000.005859,1909.257690,2966852
2004-02-01,2019.807861,2277.234375,1975.253296,2215.848145,2115.306396,1672439
2004-03-01,2227.729248,2311.887939,2118.818115,2198.026123,2098.292725,9818874
2004-04-01,2198.026123,2524.759766,2198.026123,2396.046631,2287.328613,1859087
2004-05-01,2405.947510,2415.848633,2144.560791,2168.323242,2069.937744,10698986
2004-06-01,2168.323242,2475.254639,2084.659668,2428.719971,2318.519287,12665657
2004-07-01,2425.749756,2490.205322,2316.937500,2490.106201,2377.120361,13121868
2004-08-01,2476.343750,2821.790527,2439.611084,2742.582275,2618.140137,12098339
2004-09-01,2752.483398,2995.058350,2625.750244,2930.701660,2797.724121,21756334
2004-10-01,2930.701660,2950.503662,2613.869141,2934.364990,2801.221191,7177435
2004-11-01,2934.364990,3207.930176,2920.800537,3178.227051,3034.018066,15777862
2004-12-01,3178.227051,3633.674072,3177.237061,3574.267822,3412.089111,12059355
2005-01-01,3584.168945,4079.219727,3351.494873,4069.714844,3885.055908,6106534
2005-02-01,4058.427734,4148.526855,3910.902588,4054.467285,3870.500000,4821614
2005-03-01,4084.170410,4158.428223,3811.892334,4089.120850,3903.581543,6829386
2005-04-01,4089.120850,4366.349609,3960.407715,4118.823730,3931.936279,4122594
2005-05-01,4059.417725,4356.448242,3831.694336,4257.437988,4064.261230,11260645
2005-06-01,4277.240234,4326.745117,3960.407715,4000.011719,3818.515381,3885953
2005-07-01,4009.912598,4257.537109,3960.308594,4029.714844,3846.870361,4864233
2005-08-01,4029.714844,4100.012207,3341.593994,3381.197998,3227.779297,8375996
2005-09-01,3386.148438,3504.960693,3188.128174,3247.534180,3100.180420,13971883
2005-10-01,3267.336182,3465.356689,3267.336182,3435.653564,3279.764404,8771409
2005-11-01,3435.653564,3851.496338,3372.287109,3742.684082,3572.863525,13455169
2005-12-01,3742.585205,3811.892334,3613.871826,3742.585205,3572.769043,6816458
2006-01-01,3737.634766,4172.289551,3732.684082,3960.407715,3780.707764,7414276
2006-02-01,3925.754150,4212.883789,3762.387207,4195.556641,4005.187744,3131079
2006-03-01,4172.289551,4217.833984,3976.249268,4064.368408,3879.951416,2342268
2006-04-01,4064.368408,4122.388184,3687.040527,3871.298340,3695.641846,2275611
2006-05-01,3871.298340,4029.714844,3475.356689,3613.871826,3449.896240,5512853
2006-06-01,3643.574951,3821.793457,3396.049561,3485.158691,3327.023193,3704050
2006-07-01,3485.158691,3544.564697,3217.831299,3415.851563,3260.860596,13990263
2006-08-01,3415.851563,3742.585205,3366.346436,3737.634766,3568.043213,13562935
2006-09-01,3737.634766,4118.823730,3737.634766,4069.318848,3884.677490,13543546
2006-10-01,4069.318848,4514.864746,4069.318848,4497.042969,4292.995117,13061676
2006-11-01,4497.042969,5450.510742,4445.458496,5139.520020,4906.319824,53078162
2006-12-01,5133.678223,5841.601074,5069.321777,5757.640625,5496.393066,14205093
2007-01-01,5757.640625,6732.692871,5757.640625,6702.890625,6398.754395,14387901
2007-02-01,6732.692871,8217.845703,6732.692871,7315.565918,6983.629395,16644942
2007-03-01,7306.952148,7920.815430,7079.228516,7327.744141,6995.255859,20758864
2007-04-01,7361.407715,7921.805176,7057.446289,7643.685547,7296.861816,13441534
2007-05-01,7643.685547,8573.665039,7574.279785,8415.077148,8033.250488,28403946
2007-06-01,8415.077148,8871.017578,8201.974609,8781.019531,8382.589844,13964223
2007-07-01,8781.019531,8917.602539,8226.753906,8306.047852,7929.168945,10987148
2007-08-01,8305.949219,8534.018555,7136.461426,8286.224609,7910.246582,21779186
2007-09-01,8325.871094,8723.333008,7780.725098,8068.166016,7702.081055,12275016
2007-10-01,8049.135254,8276.312500,7830.283691,8001.459961,7638.401855,17404986
2007-11-01,8001.459961,8001.459961,6443.629883,7384.254883,7049.201660,21211881
2007-12-01,7384.254883,7582.490234,6502.108887,6948.435547,6633.156738,12471955
2008-01-01,6948.435547,7032.387695,4668.435059,6126.354492,5848.377930,35448531
2008-02-01,6046.168457,6918.402832,5847.933594,6194.051758,5913.001953,11715942
2008-03-01,6194.844727,6640.873535,5451.463379,6174.922363,5894.740723,9885203
2008-04-01,6244.403809,6521.932617,5957.954102,6059.053711,5784.130371,11641683
2008-05-01,6059.053711,6194.844727,5154.110840,5818.198242,5554.203613,12027851
2008-06-01,5803.330566,5867.756836,5050.037598,5263.140137,5024.330566,9746223
2008-07-01,5251.246094,6036.256836,4311.611816,5897.492188,5629.898438,15312211
2008-08-01,5893.527344,6402.991699,5649.698242,6045.177246,5770.883301,16257741
2008-09-01,6145.286133,6462.461914,5788.462891,5981.742188,5710.327148,9553005
2008-10-01,5996.609863,6244.403809,4380.994141,6008.900391,5736.252441,11952448
2008-11-01,6145.286133,6789.549805,5054.993164,5450.472168,5203.161621,7191140
2008-12-01,5401.904785,5773.595215,5203.669434,5434.811523,5188.213379,8830061
2009-01-01,5434.811523,5649.698242,4955.875977,5132.305176,4899.432617,10022084
